Trying 192.168.1.177...
Connected to 192.168.1.177.
Escape character is '^]'.
608 Humidity: 49.82
609 Temperature: 72.01
610 Humidity: 49.82
611 Temperature: 72.01
612 Humidity: 49.85
613 Temperature: 72.01
614 Humidity: 49.82
615 Temperature: 72.01
616 Humidity: 49.85
617 Temperature: 72.01
618 Humidity: 49.85
619 Temperature: 72.03
620 Humidity: 49.82
621 Temperature: 72.03
622 Humidity: 49.79
623 Temperature: 72.03
624 Humidity: 49.79
625 Temperature: 72.03
626 Humidity: 49.79
627 Temperature: 72.03
628 Humidity: 49.75
629 Temperature: 72.05
630 Humidity: 49.75
631 Temperature: 72.05
632 Humidity: 49.68
633 Temperature: 72.07
634 Humidity: 49.75
635 Temperature: 72.07
636 Humidity: 49.75
637 Temperature: 72.09
638 Humidity: 49.79
639 Temperature: 72.09
640 Humidity: 49.79
641 Temperature: 72.09
642 Humidity: 49.79
643 Temperature: 72.11
644 Humidity: 49.75
645 Temperature: 72.09
646 Humidity: 49.68
647 Temperature: 72.11
648 Humidity: 49.65
649 Temperature: 72.11
650 Humidity: 49.61
651 Temperature: 72.13
652 Humidity: 49.61
653 Temperature: 72.15
654 Humidity: 49.61
655 Temperature: 72.15
656 Humidity: 49.61
657 Temperature: 72.15
658 Humidity: 49.61
659 Temperature: 72.17
660 Humidity: 49.61
661 Temperature: 72.17
662 Humidity: 49.61
663 Temperature: 72.17
664 Humidity: 49.58
665 Temperature: 72.17
666 Humidity: 49.58
667 Temperature: 72.17
668 Humidity: 49.58
669 Temperature: 72.17
670 Humidity: 49.58
671 Temperature: 72.17
672 Humidity: 49.54
673 Temperature: 72.17
674 Humidity: 49.51
675 Temperature: 72.19
676 Humidity: 49.40
677 Temperature: 72.17
678 Humidity: 49.37
679 Temperature: 72.19
680 Humidity: 49.34
681 Temperature: 72.19
682 Humidity: 49.34
683 Temperature: 72.19
684 Humidity: 49.24
685 Temperature: 72.19
686 Humidity: 49.12
687 Temperature: 72.19
688 Humidity: 48.96
689 Temperature: 72.19
690 Humidity: 48.92
691 Temperature: 72.19
692 Humidity: 48.89
693 Temperature: 72.19
694 Humidity: 48.89
695 Temperature: 72.19
696 Humidity: 48.86
697 Temperature: 72.19
698 Humidity: 48.75
699 Temperature: 72.19
700 Humidity: 48.68
701 Temperature: 72.19
702 Humidity: 48.57
703 Temperature: 72.19
704 Humidity: 48.57
705 Temperature: 72.19
706 Humidity: 48.57
707 Temperature: 72.19
708 Humidity: 48.64
709 Temperature: 72.19
710 Humidity: 48.71
711 Temperature: 72.19
712 Humidity: 48.75
713 Temperature: 72.19
714 Humidity: 48.78
715 Temperature: 72.19
716 Humidity: 48.71
717 Temperature: 72.19
718 Humidity: 48.64
719 Temperature: 72.19
720 Humidity: 48.54
721 Temperature: 72.19
722 Humidity: 48.50
723 Temperature: 72.19
724 Humidity: 48.50
725 Temperature: 72.19
726 Humidity: 48.54
727 Temperature: 72.19
728 Humidity: 48.54
729 Temperature: 72.19
730 Humidity: 48.54
731 Temperature: 72.19
732 Humidity: 48.54
733 Temperature: 72.19
734 Humidity: 48.57
735 Temperature: 72.19
736 Humidity: 48.57
737 Temperature: 72.19
738 Humidity: 48.57
739 Temperature: 72.19
740 Humidity: 48.57
741 Temperature: 72.21
742 Humidity: 48.57
743 Temperature: 72.21
744 Humidity: 48.54
745 Temperature: 72.21
746 Humidity: 48.44
747 Temperature: 72.21
748 Humidity: 48.37
749 Temperature: 72.21
750 Humidity: 48.34
751 Temperature: 72.19
752 Humidity: 48.30
753 Temperature: 72.21
754 Humidity: 48.30
755 Temperature: 72.23
756 Humidity: 48.30
757 Temperature: 72.23
758 Humidity: 48.34
759 Temperature: 72.23
760 Humidity: 48.34
761 Temperature: 72.23
762 Humidity: 48.37
763 Temperature: 72.25
764 Humidity: 48.37
765 Temperature: 72.25
766 Humidity: 48.37
767 Temperature: 72.25
768 Humidity: 48.44
769 Temperature: 72.25
770 Humidity: 48.47
771 Temperature: 72.25
772 Humidity: 48.47
773 Temperature: 72.27
774 Humidity: 48.47
775 Temperature: 72.27
776 Humidity: 48.37
777 Temperature: 72.27
778 Humidity: 48.37
779 Temperature: 72.27
780 Humidity: 48.34
781 Temperature: 72.27
782 Humidity: 48.30
783 Temperature: 72.27
784 Humidity: 48.27
785 Temperature: 72.28
786 Humidity: 48.27
787 Temperature: 72.28
788 Humidity: 48.23
789 Temperature: 72.28
790 Humidity: 48.23
791 Temperature: 72.28
792 Humidity: 48.23
793 Temperature: 72.30
794 Humidity: 48.20
795 Temperature: 72.30
796 Humidity: 48.20
797 Temperature: 72.30
798 Humidity: 48.20
799 Temperature: 72.32
800 Humidity: 48.13
801 Temperature: 72.32
802 Humidity: 48.09
803 Temperature: 72.32
804 Humidity: 48.09
805 Temperature: 72.32
806 Humidity: 48.06
807 Temperature: 72.32
808 Humidity: 47.99
809 Temperature: 72.32
810 Humidity: 47.99
811 Temperature: 72.34
812 Humidity: 47.99
813 Temperature: 72.34
814 Humidity: 47.99
815 Temperature: 72.34
816 Humidity: 47.99
817 Temperature: 72.34
818 Humidity: 48.02
819 Temperature: 72.34
820 Humidity: 48.02
821 Temperature: 72.36
822 Humidity: 48.06
823 Temperature: 72.36
824 Humidity: 48.06
825 Temperature: 72.36
826 Humidity: 48.02
827 Temperature: 72.36
828 Humidity: 47.99
829 Temperature: 72.36
830 Humidity: 47.89
831 Temperature: 72.38
832 Humidity: 47.89
833 Temperature: 72.38
834 Humidity: 47.86
835 Temperature: 72.38
836 Humidity: 47.86
837 Temperature: 72.40
838 Humidity: 47.89
839 Temperature: 72.40
840 Humidity: 47.89
841 Temperature: 72.40
842 Humidity: 47.86
843 Temperature: 72.40
844 Humidity: 47.82
845 Temperature: 72.40
846 Humidity: 47.82
